Fecha,Ciudad,Sistema,Pasajeros_dia,Variacion_SITVA,Pasajeros_dia_tipico_laboral,Pasajeros_dia_sabado,Pasajeros_dia_festivo,Dia_Semana
16/03/2020,Medellin,SITVA,1435928,"-0,24503438",1901978,1498727,780939,1
17/03/2020,Medellin,SITVA,1255005,"-0,340157983",1901978,1498727,780939,2
18/03/2020,Medellin,SITVA,1125075,"-0,408471076",1901978,1498727,780939,3
19/03/2020,Medellin,SITVA,1062819,"-0,441203316",1901978,1498727,780939,4
20/03/2020,Medellin,SITVA,981291,"-0,484068165",1901978,1498727,780939,5
21/03/2020,Medellin,SITVA,212679,"-0,858093569",1901978,1498727,780939,6
22/03/2020,Medellin,SITVA,124473,"-0,84061111",1901978,1498727,780939,7
23/03/2020,Medellin,SITVA,144269,"-0,924147913",1901978,1498727,780939,1
24/03/2020,Medellin,SITVA,457281,"-0,759576083",1901978,1498727,780939,2
25/03/2020,Medellin,SITVA,268270,"-0,858952101",1901978,1498727,780939,3
26/03/2020,Medellin,SITVA,264020,"-0,861186617",1901978,1498727,780939,4
27/03/2020,Medellin,SITVA,270970,"-0,857532527",1901978,1498727,780939,5
28/03/2020,Medellin,SITVA,211539,"-0,858854214",1901978,1498727,780939,6
29/03/2020,Medellin,SITVA,103285,"-0,867742551",1901978,1498727,780939,7
30/03/2020,Medellin,SITVA,277118,"-0,854300102",1901978,1498727,780939,1
31/03/2020,Medellin,SITVA,268372,"-0,858898473",1901978,1498727,780939,2
1/4/2020,Medellin,SITVA,277767,"-0,853958879",1901978,1498727,780939,3
2/4/2020,Medellin,SITVA,254199,"-0,866350189",1901978,1498727,780939,4
3/4/2020,Medellin,SITVA,263604,"-0,861405337",1901978,1498727,780939,5
4/4/2020,Medellin,SITVA,211518,"-0,858868226",1901978,1498727,780939,6
5/4/2020,Medellin,SITVA,104297,"-0,866446675",1901978,1498727,780939,7
6/4/2020,Medellin,SITVA,267300,"-0,859462097",1901978,1498727,780939,1
7/4/2020,Medellin,SITVA,266043,"-0,860122988",1901978,1498727,780939,2
8/4/2020,Medellin,SITVA,272900,"-0,856517794",1901978,1498727,780939,3
9/4/2020,Medellin,SITVA,125517,"-0,934007123",1901978,1498727,780939,4
10/4/2020,Medellin,SITVA,97623,"-0,948672908",1901978,1498727,780939,5
11/4/2020,Medellin,SITVA,184788,"-0,876703362",1901978,1498727,780939,6
